5195
TOTAL_RESOURCE_FOOD_COLLECTED       : 216
TOTAL_RESOURCE_STONE_COLLECTED      : 72
TOTAL_RESOURCE_WOOD_COLLECTED       : 269
TOTAL_HOUSES_BUILT                  : 1
TOTAL_ARMY_CENTRE_SPAWNED           : 6
TOTAL_CIVILIANS_SPAWNED             : 6
TOTAL_SHORT_RANGE_ARMY_SPAWNED      : 48
TOTAL_LONG_RANGE_ARMY_SPAWNED       : 3
TOTAL_ATTACK_ON_HOUSES              : 20
TOTAL_ATTACK_ON_ARMY_SPAWNERS       : 30
TOTAL_ATTACK_ON_CIVILIANS           : 15
TOTAL_ATTACK_ON_SHORT_RANGE_ARMIES  : 0
TOTAL_ATTACK_ON_LONG_RANGE_ARMIES   : 0
TOTAL_ATTACK_ON_TOWNCENTERS         : 51
TOTAL_KILL_ON_HOUSES                : 2
TOTAL_KILL_ON_ARMY_SPAWNERS         : 3
TOTAL_KILL_ON_CIVILIANS             : 0
TOTAL_KILL_ON_SHORT_RANGE_ARMIES    : 4
TOTAL_KILL_ON_LONG_RANGE_ARMIES     : 0
TOTAL_KILL_ON_TOWNCENTERS           : 2
TOTAL_SCORE_RATE                    : 0.000000
TOTAL_NEGATIVE_SCORE                : 0
TOTAL_BONUS_SCORE                   : 0
TOTAL_FRAMES                        : 101291
ALIVE                               : 0
TOTAL_SCORE                         : 5195
