0
TOTAL_RESOURCE_FOOD_COLLECTED       : 241
TOTAL_RESOURCE_STONE_COLLECTED      : 106
TOTAL_RESOURCE_WOOD_COLLECTED       : 322
TOTAL_HOUSES_BUILT                  : 13
TOTAL_ARMY_CENTRE_SPAWNED           : 4
TOTAL_CIVILIANS_SPAWNED             : 7
TOTAL_SHORT_RANGE_ARMY_SPAWNED      : 8
TOTAL_LONG_RANGE_ARMY_SPAWNED       : 2
TOTAL_ATTACK_ON_HOUSES              : 90
TOTAL_ATTACK_ON_ARMY_SPAWNERS       : 30
TOTAL_ATTACK_ON_CIVILIANS           : 98
TOTAL_ATTACK_ON_SHORT_RANGE_ARMIES  : 0
TOTAL_ATTACK_ON_LONG_RANGE_ARMIES   : 30
TOTAL_ATTACK_ON_TOWNCENTERS         : 50
TOTAL_KILL_ON_HOUSES                : 9
TOTAL_KILL_ON_ARMY_SPAWNERS         : 3
TOTAL_KILL_ON_CIVILIANS             : 9
TOTAL_KILL_ON_SHORT_RANGE_ARMIES    : 0
TOTAL_KILL_ON_LONG_RANGE_ARMIES     : 3
TOTAL_KILL_ON_TOWNCENTERS           : 1
TOTAL_SCORE_RATE                    : 0.000000
TOTAL_NEGATIVE_SCORE                : 0
TOTAL_BONUS_SCORE                   : 0
TOTAL_FRAMES                        : 186931
ALIVE                               : 0
TOTAL_SCORE                         : 3947
